我	ngo5
來	loi4
睇到	tai2 dou3
係唔係	hai6 m4 hai6
方法	fong1 faat3
得閒	dak1 haan4
分	fan1
一時	jat1 si4
多啲	do1 di1
好想	hou2 soeng2
哎吔	aai1 jaa1
差	caa1
老師	lou5 si1
執	zap1
叫做	giu3 zou6
好意	hou2 ji3
家	gaa1
簡單	gaan2 daan1
噉樣	gam2 joeng2
不斷	bat1 tyun5
呢位	nei4 wai6
努力	nou5 lik6
戲	hei3
成為	sing4 wai4
靠	kaau3
哼	hng6
陳	can4
塊	faai3
老闆	lou5 baan2
認為	jing6 wai4
鐘意	zung1 ji3
九	gau2
令到	ling6 dou3
老公	lou5 gung1
講到	gong2 dou3
上去	soeng5 heoi3
埋去	maai4 heoi3
發	faat3
換	wun6
依然	ji1 jin4
周圍	zau1 wai4
感情	gam2 cing4
夜	je6
實	sat6
咧	lit6
無論	mou4 leon6
幫手	bong1 sau2
經過	ging1 gwo3
大陸	daai6 luk6
肯定	hang2 ding6
能夠	nang4 gau3
十幾	sap6 gei2
只不過	zi2 bat1 gwo3
親	can1
譬如	pei3 jyu4
小	siu2
自然	zi6 jin4
後生	hau6 saang1
唔啱	m4 ngaam1
幾耐	gei2 noi6
臉	lim5
面對	min6 deoi3
辛苦	san1 fu2
餐	caan1
萬	maan6
桂	gwai3
姨	ji4
只要	zi2 jiu3
衰	seoi1
亂	lyun6
有事	jau5 si6
三十	saam1 sap6
敬	ging3
認真	jing6 zan1
要求	jiu1 kau4
睇住	tai2 zyu6
應承	jing1 sing4
花	faa1
數	sou2
接	zip3
日本	jat6 bun2
中意	zung1 ji3
好唔好	hou2 m4 hou2
廿	jaa6
支持	zi1 ci4
樂	lok6
友	jau5
追	zeoi1
門	mun4
今年	gam1 nin4
輸	syu1
份人	fan6 jan4
明明	ming4 ming4
心情	sam1 cing4
曾經	cang4 ging1
細個	sai3 go3
幾年	gei2 nin4
精神	zing1 san4
選擇	syun2 zaak6
陣間	zan6 gaan3
病	beng6
炒	caau2
介紹	gaai3 siu6
半	bun3
咦	ji2
搭	daap3
國家	gwok3 gaa1
結果	git3 gwo2
痛	tung3
差唔多	caa1 m4 do1
同時	tung4 si4
加	gaa1
呢排	ni1 paai4
有無	jau5 mou4
樓下	lau4 haa6
似	ci5
人地	jan4 dei6
好意思	hou2 ji3 si3
受	sau6
做得	zou6 dak1
永遠	wing5 jyun5
大聲	daai6 sing1
段	dyun6
響	hoeng2
行為	hang4 wai4
本來	bun2 loi4
緊張	gan2 zoeng1
拎住	ling1 zyu6
細佬	sai3 lou2
㗎啦	gaa3 laa1
㗎啦	gaa3 laa3
㗎啦	gaa3 laa4
停	ting4
嗯	ng6
港人	gong2 jan4
人生	jan4 sang1
廁所	ci3 so2
總之	zung2 zi1
發覺	faat3 gok3
貨	fo3
父母	fu6 mou5
識得	sik1 dak1
既然	gei3 jin4
冇嘢	mou5 je5
鬼	gwai2
代表	doi6 biu2
每日	mui5 jat6
而係	ji4 hai6
舒服	syu1 fuk6
讀書	duk6 syu1
做到	zou6 dou3
一百	jat1 baak3
基本	gei1 bun2
絕對	zyut6 deoi3
唔明	m4 ming4
大佬	daai6 lou2
香港人	hoeng1 gong2 jan4
維	wai4
放心	fong3 sam1
早餐	zou2 caan1
飛	fei1
舊	gau6
鐘	zung1
丫	aa1
甚至	sam6 zi3
哎	aai1
几	gei1
部份	bou6 fan6
隔離	gaak3 lei4
計劃	gai3 waak6
餐廳	caan1 teng1
拖	to1
男朋友	naam4 pang4 jau5
打開	daa2 hoi1
學校	hok6 haau6
過嚟	gwo3 lai2
袋	doi2
嚇	haak3
尋晚	cam4 maan5
多次	do1 ci3
轉身	zyun2 san1
妹	mui6
冇得	mou5 dak1
媽媽	maa1 maa1
奇怪	kei4 gwaai3
老細	lou5 sai3
嘈	cou4
無人	mou4 jan4
加上	gaa1 soeng5
孝	haau3
廣東	gwong2 dung1
越	jyut6
發展	faat3 zin2
電影	din6 jing2
反而	faan2 ji4
還	waan4
酒店	zau2 dim3
興趣	hing3 ceoi3
另外	ling6 ngoi6
禮物	lai5 mat6
講話	gong2 waa6
唔知道	m4 zi1 dou3
煩	faan4
英文	jing1 man4
最近	zeoi3 gan6
其中	kei4 zung1
解決	gaai2 kyut3
十五	sap6 ng5
行埋	haang4 maai4
字	zi6
巴士	baa1 si2
身上	san1 soeng6
平	ping4
容易	jung4 ji6
今朝	gam1 ziu1
正當	zing3 dong3
次	ci3
每一	mui5 jat1
記住	gei3 zyu6
一份	jat1 fan6
咩嘢	me1 je5
影	jing2
嫁	gaa3
寶	bou2
第一次	dai6 jat1 ci3
他	taa1
多年	do1 nin4
試過	si3 gwo3
從來	cung4 loi4
夜晚	je6 maan5
個頭	go3 tau4 
得出	dak1 ceot1
一段	jat1 dyun6
將來	zoeng1 loi4
掂	dim1
潮	ciu4
旅行	leoi5 hang4
貴	gwai3
附近	fu6 gan6
包	baau1
忙	mong4
小朋友	siu2 pang4 jau5
接受	zip3 sau6
處理	cyu2 lei5
男仔	naam4 zai2
可惜	ho2 sik1
休息	jau1 sik1
唔好意思	m4 hou2 ji3 si3
金	gam1
倉	cong1
有得	jau5 dak1
音樂	jam1 ngok6
意見	ji3 gin3
好彩	hou2 coi2
仆街	puk1 gaai1
照顧	ziu3 gu3
走去	zau2 heoi3
英國	jing1 gwok3
做人	zou6 jan4
坐低	zo5 dai1
呢次	nei1 ci3
嗰陣時	go2 zan6 si4
波	bo1
通常	tung1 soeng4
老豆	lou5 dau6
之嘛	zi1 maa3
幅	fuk1
同人	tung4 jan4
搞掂	gaau2 dim6
業	jip6
老	lou5
消息	siu1 sik1
好過	hou2 gwo3
直接	zik6 zip3
留意	lau4 ji3
唔緊要	m4 gan2 jiu3
擺	baai2
機	gei1
慘	caam2
經濟	ging1 zai3
好少	hou2 siu2
最多	zeoi3 do1
年前	nin4 cin4
改變	goi2 bin3
放工	fong3 gung1
雲	wan4
令人	ling6 jan4
某	mau5
李	lei5
升	sing1
爛	laan6
掛住	gwaa3 zyu6
眼前	ngaan5 cin4
細聲	sai3 seng1
青	cing1
是	si6
近	gan6
搶	coeng2
乜都	me1 dou1
只有	zi2 jau5
直到	zik6 dou3
遲	ci4
唔錯	m4 co3
自從	zi6 cung4
唔要	m4 jiu3
轉頭	zyun2 tau4
急	gap1
大個	daai6 go3
外國	ngoi6 gwok3
要有	jiu3 jau5
實在	sat6 zoi6
作為	zok3 wai4
考慮	haau2 leoi6
醒	sing2
爆	baau3
銀行	ngan4 hong4
一點	jat1 dim2
捉	zuk1
唉	aai1
唱	coeng3
未必	mei6 bit1
狗	gau2
地下	dei6 haa6
安排	on1 paai4
老實	lou5 sat6
假	gaa2
遠	jyun5
長	coeng4
使	sai2
煮	zyu2
我哋嘅	ngo5 dei6 ge3
真正	zan1 zing3
言	jin4
就嚟	zau6 lei4
住喺	zyu6 hai2
麻煩	maa4 faan4
都得	dou1 dak1
係啦	hai6 laa1
怪	gwaai3
唔少	m4 siu2
負責	fu6 zaak3
普通	pou2 tung1
各位	gok3 wai2
尋日	cam4 jat6
日子	jat6 zi2
答案	daap3 on3
衝	cung1
於	jyu1
霜	soeng1
落嚟	lok6 lai4
至於	zi3 jyu1
始終	ci2 zung1
科技	fo1 gei6
對付	deoi3 fu6
得嘞	dak1 laak3
比賽	bei2 coi3
距	keoi5
市場	si5 coeng4
前面	cin4 min6
心機	sam1 gei1
不知	bat1 zi1
又要	jau6 jiu3
有心	jau5 sam1
提	tai4
認	jing6
出街	ceot1 gaai1
國人	gwok3 jan4
每次	mui5 ci3
後面	hau6 min6
畫	waak6
酒	zau2
清	cing1
黃	wong4
中學	zung1 hok6
飛機	fei1 gei1
相當	soeng1 dong1
懷疑	waai4 ji4
再見	zoi3 gin3
嘅啫	ge3 ze6
人工	jan4 gung1
受到	sau6 dou3
重有	zung6 jau5
冇錯	mou5 co3
尷尬	gaam3 gaai3
紙	zi2
運動	wan6 dung6
服務	fuk6 mou6
好心	hou2 sam1
能力	nang4 lik6
的士	dik1 si2
明顯	ming4 hin2
細細	sai3 sai3
家人	gaa1 jan4
關心	gwaan1 sam1
行開	haang4 hoi1
剩係	zing6 hai6
哈哈	haa1 haa1
片	pin3
照	ziu3
線	sin3
作	zok3
呵	aa6
呵	ho1
甘	gam1
同學	tung4 hok6
理由	lei5 jau4
再加	zoi3 gaa1
自	zi6
派	paai3
自由	zi6 jau4
良	loeng4
喇嘛	laa1 maa4
結	git3
零	ling4
與	jyu5
廣東話	gwong2 dung1 waa2
出面	ceot1 min2
報紙	bou3 zi2
一聲	jat1 sing1
招呼	ziu1 fu1
好奇	hou3 kei4
一時間	jat1 si4 gaan1
茶	caa4
指	zi2
應	jing1
仍然	jing4 jin4
身體	san1 tai2
環境	waan4 ging2
太太	taai3 taai2
揸	zaa1
如	jyu4
贏	jeng4
趕	gon2
垃圾	laap6 saap3
首先	sau2 sin1
方便	fong1 bin6
幾十	gei2 sap6
偷	tau1
之際	zi1 zai3
上前	soeng5 cin4
婚	fan1
渣	zaa1
好人	hou2 jan4
仲好	zung6 hou2
事實	si6 sat6
正常	zing3 soeng4
點鐘	dim2 zung1
兩句	loeng5 geoi3
一步	jat1 bou6
有機	jau5 gei1
一向	jat1 hoeng3
媽咪	maa1 mi4
觀察	gun1 caat3
熱	jit6
改	goi2
黑	hak1
除咗	ceoi4 zo2
值得	zik6 dak1
生仔	sang1 zai2
經理	ging1 lei5
十萬	sap6 maan6
唔需要	m4 seoi1 jiu3
起碼	hei2 maa5
救	gau3
氣	hei3
功課	gung1 fo3
並	bing6
施	si1
拿	naa4
細路仔	sai3 lou6 zai2
責任	zaak3 jam6
對方	deoi3 fong1
最大	zeoi3 daai6
一身	jat1 san1
尷	gaam3
依家	ji1 gaa1
例如	lai6 jyu4
天氣	tin1 hei3
一般	jat1 bun1
股	gu2
點算	dim2 syun3
原諒	jyun4 loeng6
探	taam3
開門	hoi1 mun4
眼神	ngaan5 san4
傻	so4
畢業	bat1 jip6
一部	jat1 bou6
半年	bun3 nin4
表哥	biu2 go1
關	gwaan1
或	waak6
於是	jyu1  si6
變成	bin3 sing4
人家	jan4 gaa1
放棄	fong3 hei3
篇	pin1
搬	bun1
踢	tek3
網上	mong5 soeng6
相反	soeng1 faan2
白	baak6
考試	haau2 si5
粒	lap1
鐘頭	zung1 tau4
客氣	haak3 hei3
表情	biu2 cing4
盡	zeon6
法	faat3
戴	daai3
好睇	hou2 tai2
租	zou1
上嚟	soeng5 lai2
班人	baan1 jan4
打比	daa2 bei2
覺	gaau3
裡面	leoi5 min6
多數	do1 sou3
表現	biu2 jin6
獨立	duk6 laap6
早就	zou2 zau6
得喇	dak1 laa1
掛	gwaa3
號	hou6
熟	suk6
火	fo2
咀	zeoi2
迫	bik1
將會	zoeng1 wui2
多個	do1 go3
危險	ngai4 him2
一千	jat1 cin1
想要	soeng2 jiu3
變得	bin3 dak1
態度	taai3 dou6
介意	gaai3 ji3
殺	saat3
內	noi6
跌	dit3
地鐵	dei6 tit3
多時	do1 si4
遲到	ci4 dou3
死人	sei2 jan4
壓力	aat3 lik6
一世	jat1 sai3
點做	dim2 zou6
使乜	sai2 mat1
撞	zong6
因	jan1
分別	fan1 bit6
之中	zi1 zung1
人士	jan4 si6
咁啱	gam2 ngaam1
提出	tai4 ceot1
入嚟	jap6 lei4
一家	jat1 gaa1
敢	gam2
好食	hou2 sik6
十二	sap6 ji6
離婚	lei4 fan1
封	fung1
上個	soeng6 go3
毒男	duk6 naam4
求	kau4
男	naam4
愈	jyu6
勁	ging3
歡迎	fun1 jing4
阿婆	aa3 po4
立即	laap6 zik1
專登	zyun1 dang1
剩	sing6
總	zung2
百	baak3
枝	zi1
故事	gu3 si6
老人	lou5 jan4
一切	jat1 cai3
對於	deoi3 jyu1
後來	hau6 loi4
感受	gam2 sau6
目標	muk6 biu1
冇問題	mou5 man6 tai4
家姐	gaa1 ze1
一張	jat1 zoeng1
報警	bou3 ging2
無理	mou4 lei5
絡	lok3
試	si3
市民	si5 man4
大部	daai6 bou6
行動	hang4 dung6
不停	bat1 ting4
投資	tau4 zi1
千祈	cin1 kei4
朝早	ziu1 zou2
跳	tiu3
西裝	sai1 zong1
查	caa4
驚訝	ging1 ngaa6
腦	nou5
碗	wun2
姓	sing3
當年	dong1 nin4
實際	sat6 zai3
家庭	gaa1 ting4
安全	on1 cyun4
款	fun2
拍拖	paak3 to1
十分	sap6 fan1
靚仔	leng3 zai2
妹妹	mui6 mui6
主動	zyu2 dung6
報	bou3
條女	tiu4 neoi2
屋企人	uk1 kei5 jan4
沖	cung1
未有	mei6 jau5
放低	fong3 dai1
至得	zi3 dak1
床	cong4
哥哥	go1 go1
藥	joek6
更	gang3
每	mui5
情	cing4
文化	man4 faa3
資料	zi1 liu2
大話	daai6 waa6
生日	saang1 jat6
存在	cyun4 zoi6
五十	ng5 sap6
下次	haa6 ci3
正正	zing3 zing3
講真	gong2 zan1
極	gik6
深	sam1
化	faa3
霞	haa4
也	jaa5
嚴重	jim4 zung6
當中	dong1 zung1
目的	muk6 dik1
愛情	oi3 cing4
肚	tou5
基	gei1
佬	lou2
芝	zi1
仔女	zai2 neoi2
鋪	pou1
賺	zaan6
遇到	jyu6 dou3
眼淚	ngaan5 leoi6
飲茶	jam2 caa4
皮	pei4
榮	wing4
正一	zing3 jat1
冇用	mou5 jung6
跑	paau2
你先	nei5 sin1
的確	dik1 kok3
原本	jyun4 bun2
的話	dik1 waa6
高層	gou1 cang4
老爺	lou5 je4
少爺	siu3 je4
堂	tong4
處	cyu2
已	ji5
佢哋嘅	keoi5 dei2 ge3
落雨	lok6 jyu5
一場	jat1 coeng4
隨便	ceoi4 bin2
通知	tung1 zi1
澳門	ou3 mun2
傾計	king1 gai3
誤會	ng6 wui6
強	koeng4
副	fu3
中文	zung1 man4
警方	ging2 fong1
政治	zing3 zi6
刀	dou1
次次	ci3 ci3
暫時	zaam6 si4
相機	soeng3 gei1
關於	gwaan1 jyu1
痴線	ci1 sin3
阿嫂	aa3 sou2
傳	cyun4
底	dai2
反	faan2
百萬	baak3 maan6
習慣	zaap6 gwaan3
等等	dang2 dang2
大約	daai6 joek3
拒絕	keoi5 zyut6
走出	zau2 ceot1
認得	jing6 dak1
左邊	zo2 bin1
馬	maa5
意	ji3
語言	jyu5 jin4
公園	gung1 jyun2
襯	can3
菜	coi3
節目	zit3 muk6
咖啡	gaa3 fe1
唔算	m4 syun3
超	ciu1
幾次	gei2 ci3
脾氣	pei4 hei3
晝	zau3
推	teoi1
尾	mei5
裝	zong1
凍	dung3
聽講	teng1 gong2
做法	zou6 faat3
無謂	mou4 wai6
身份	san1 fan6
道理	dou6 lei5
親戚	can1 cik1
奶奶	naai4 naai2
旁邊	pong4 bin1
點頭	dim2 tau4
權	kyun4
光	gwong1
何	ho4
樓	lau4
悶	mun6
后	hau6
窗	coeng1
機場	gei1 coeng4
事業	si6 jip6
正式	zing3 sik1
第三	dai6 saam1
千祈唔好	cin1 kei4 m4 hou2
第日	dai6 jat6
第一個	dai6 jat1 go3
頂	ding2
盒	hap6
活動	wut6 dung6
好多時	hou2 do1 si4
嘢食	je5 sik6
林	lam4
嘗試	soeng4 si3
包括	baau1 kut3
唔關	m4 gwaan1
再講	zoi3 gong2
燒	siu1
冇辦法	mou5 baan6 faat3
章	zoeng1
意外	ji3 ngoi6
想像	soeng2 zoeng6
隨時	ceoi4 si4
阻住	zo2 zyu6
認識	jing6 sik1
留低	lau4 dai1
外面	ngoi6 min6
直情	zik6 cing4
硬	ngaang6
靜	zing6
今	gam1
不可	bat1 ho2
有關	jau5 gwaan1
座	zo6
做錯	zou6 co3
一套	jat1 tou3
唔舒服	m4 syu1 fuk6
保護	bou2 wu6
老母	lou5 mou2
條件	tiu4 gin2
膊頭	bok3 tau4
氣氛	hei3 fan1
噚日	cam4 jat6
話題	waa6 tai4
國旗	gwok3 kei4
步	bou6
簿	bou2
虎	fu2
城市	sing4 si5
聲音	sing1 jam1
求其	kau4 kei4
寧願	ning4 jyun6
無端	mou4 dyun1
再加上	zoi3 gaa1 soeng5
山	saan1
謝	ze6
研究	jin4 gau3
窮	kung4
完成	jyun4 sing4
唔掂	m4 dim6
人類	jan4 leoi6
年紀	nin4 gei2
三年	saam1 nin4
期間	kei4 gaan1
同意	tung4 ji3
先知	sin1 zi1
方向	fong1 hoeng3
畢	bat1
所有人	so2 jau5 jan4
突然間	dat6 jin4 gaan1
捉住	zuk1 zyu6
商量	soeng1 loeng6
養	joeng5
合作	hap6 zok3
叻	lik1
中心	zung1 sam1
堅持	gin1 ci4
吹	ceoi1
民主	man4 zyu2
銀包	ngan4 baau1
夠膽	gau3 daam2
打到	daa2 dou3
辭職	ci4 zik1
對眼	deoi3 ngaan5
